KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
600458;Labsk· Str·Ú;661;2881971;64;1028153;0;0;0;0;145;121245;1;3787;106;339144;32;1233780;3;3835;177;27961;133;124066;
600466;Arnoötovice;921;5645136;90;3435955;0;0;0;0;87;78543;1;2518;261;933948;85;684611;51;101476;108;69608;238;338477;
600521;Aö;8524;13406991;147;1452527;0;0;0;0;1800;1020645;0;0;417;2561286;262;4421561;56;61243;3880;775463;1962;3114266;
600598;BabÌ;1667;11331232;35;790427;0;0;0;0;35;45958;0;0;510;3348472;255;6131258;12;23514;184;36899;636;954704;
600601;Babice;2359;5567093;689;1821918;0;0;0;0;491;297674;1;1380;157;198381;63;2871444;13;44467;697;123234;248;208595;
600610;VelkÈ Babice;954;2551374;356;1882667;0;0;0;0;124;99773;2;6845;137;194801;0;0;66;111491;126;77288;143;178509;
600636;Babice u Lesonic;1094;4332566;338;3153305;0;0;0;0;103;76545;0;0;199;211065;30;552997;111;24235;118;53791;195;260628;
600644;BolÌkovice;644;5236672;160;1570988;0;0;0;0;36;27060;0;0;183;238295;27;3185079;64;64334;53;23385;121;127531;
600652;Babice u UherskÈho HradiötÏ;7429;6613402;3036;4344281;0;0;14;12912;629;380645;111;67796;463;343716;13;17248;641;466250;863;287599;1659;692955;
600661;Babice u äternberka;963;5943993;304;4023618;0;0;0;0;141;77543;0;0;23;167049;9;802194;21;138503;223;126617;242;608469;
600679;Krako¯ice;255;2092775;31;1309794;0;0;0;0;46;39596;0;0;16;144076;24;404732;5;13672;49;37356;84;143549;
600687;Babice u KelËe;906;2342169;342;1586369;0;0;0;0;71;76833;2;6890;70;143655;77;254444;86;82659;60;26542;198;164777;
600695;Babice nad Svitavou;2909;17419726;990;1930879;0;0;0;0;469;263248;14;48166;139;103766;222;14484348;13;86482;583;137266;479;365571;
600709;Babice u Rosic;1672;5692590;424;2300148;0;0;0;0;267;119188;3;10108;70;50524;106;2663776;23;16911;369;90176;410;441759;
600717;Babylon;1182;6651719;29;85303;0;0;0;0;177;101093;0;0;79;252556;74;5412539;31;249036;393;61829;399;489363;
600725;B·covice;1355;4722202;407;2509509;0;0;0;0;58;41003;4;6922;275;587755;191;1349500;24;20910;75;33361;321;173242;
600733;MilotiËky;474;1804294;90;962344;0;0;0;0;42;29741;0;0;93;281635;53;395229;8;15181;24;13727;164;106437;
600741;BaËetÌn;1839;6012190;418;3297411;0;0;0;0;199;142361;1;3799;431;1061457;226;1135900;67;57133;201;86429;296;227700;
600750;SudÌn;533;2119516;179;1337167;0;0;0;0;44;46576;0;0;65;212226;43;352319;8;10354;79;49794;115;111080;
600768;BaËice;576;3067035;242;2748916;0;0;0;0;64;42545;0;0;53;57689;18;76461;19;7810;99;41459;81;92155;
600776;Ude¯ice;544;2258242;196;1818024;0;0;0;0;55;37997;7;83198;16;44123;46;110333;44;19130;68;37555;112;107882;
600784;BaËkov;406;3139047;90;2161458;0;0;0;0;43;32028;0;0;81;416683;25;269383;15;37338;66;46902;86;175255;
600792;Lubno u BaËkova;167;1776110;11;1185163;0;0;0;0;18;11327;0;0;33;322928;27;162209;19;15449;22;20775;37;58259;
600806;ZboûÌ;682;6363922;149;3271046;0;0;0;0;65;67305;0;0;127;783047;102;1773378;15;44474;90;64106;134;360566;
600814;BaËkovice;1075;6392302;211;4417190;0;0;0;0;77;45535;0;0;101;363072;344;1000645;14;71199;104;58648;224;436013;
600822;BaËov;433;1729927;78;1019158;0;0;0;0;56;36611;7;14909;48;174977;62;297737;10;20776;54;21539;118;144220;
600831;Bakov nad Jizerou;6186;9169474;1100;5122115;0;0;0;0;926;464137;11;17384;647;1305626;269;315901;365;272338;1567;454483;1301;1217490;
600849;Baliny;1618;4890309;159;699955;0;0;0;0;60;48996;0;0;385;1251662;407;2522710;22;81374;109;30705;476;254907;
600857;BanÌn;1315;12929573;172;6701798;0;0;0;0;242;98154;0;0;83;991741;174;4143742;16;25901;218;92627;410;875610;
600865;B·nov;4718;16176754;1915;8023812;0;0;0;0;677;393493;9;783667;345;1916871;32;2669189;64;272761;981;365048;695;1751913;
600873;B·Úovice;464;4790412;29;3458196;0;0;0;0;70;45390;0;0;24;424686;150;497293;16;149153;67;39282;108;176412;
600881;Bantice;670;3763255;88;3066230;0;0;1;106178;115;77381;0;0;44;49002;25;83879;23;27877;173;69240;201;283468;
600890;Barchov;1350;5924887;595;3583656;0;0;0;0;122;92503;2;1116;96;184533;28;1615148;146;103059;157;83071;204;261801;
600903;Barchov u Pardubic;1047;4421505;437;3680564;0;0;0;0;161;116337;8;12229;121;230832;19;89827;20;27353;120;75354;161;189009;
600911;Barchovice;920;3483166;319;2599151;0;0;0;0;67;36716;7;30206;132;253207;38;299982;74;45543;104;58664;179;159697;
600920;Hryzely;1199;2803582;330;1831764;0;0;0;0;60;46462;3;11077;182;301792;95;280357;20;41381;166;48847;343;241902;
600938;Radlice u Barchovic;1710;11457372;540;2775700;0;0;0;0;53;36805;17;23552;288;838828;228;7379541;98;58939;89;75047;397;268960;
600946;Barch˘vek;331;1879939;136;1534660;0;0;0;0;73;38825;1;10292;1;5418;4;169959;4;7053;72;35049;40;78683;
600954;BartoÚov;718;2118677;26;258335;0;0;0;0;107;91461;0;0;95;862878;152;550043;14;32207;96;22644;228;301109;
600962;Radomilov;661;1852306;54;879133;0;0;0;0;141;90448;1;3449;56;280411;118;432630;7;4629;98;23817;186;137789;
600971;Bartoöovice;3835;19143032;829;13176503;0;0;0;0;611;613564;0;0;432;1244397;156;981126;220;1549861;638;300275;949;1277306;
600989;Bartoöovice v Orlick˝ch hor·ch;1156;13118497;0;0;0;0;0;0;38;31093;0;0;505;5197978;135;7132393;38;304979;213;64265;227;387789;
600997;Neratov v Orlick˝ch hor·ch;872;8124407;0;0;0;0;0;0;23;13153;0;0;231;1114254;321;6767777;15;39579;126;38390;156;151254;
601004;Nov· Ves v Orlick˝ch hor·ch;494;5028021;1;2756;0;0;0;0;1;354;0;0;132;462858;166;4371438;31;68124;53;12160;110;110331;
601012;PodlesÌ v Orlick˝ch hor·ch;181;2105254;0;0;0;0;0;0;3;3454;0;0;51;377356;51;1598075;11;46656;23;9549;42;70164;
601021;VrchnÌ Orlice;568;5753882;0;0;0;0;0;0;1;180;0;0;133;3270390;209;2070712;14;54827;59;28541;152;329232;
601039;Mal· Strana v Orlick˝ch hor·ch;65;1472121;0;0;0;0;0;0;0;0;0;0;3;3516;48;1418305;3;9491;2;624;9;40185;
601047;Ba¯ice;863;3273308;207;2325991;0;0;0;0;187;148447;31;83286;44;192908;21;259948;68;22534;145;57137;160;183057;
601055;VelkÈ TÏöany;1154;3413824;382;2333151;0;0;0;0;172;169371;23;66623;111;134075;106;210304;22;13942;152;47456;186;438902;
601063;Baöka;3479;5265153;366;1386541;0;0;0;0;721;476633;5;10321;270;685275;303;1334075;123;423525;876;239570;815;709213;
601080;HodoÚovice;1921;3045362;208;713914;0;0;0;0;349;242877;1;4624;201;511701;210;824394;68;157830;420;101472;464;488550;
601098;KunËiËky u Baöky;2626;4523190;439;2224709;0;0;0;0;541;389209;1;7676;144;557765;186;483861;117;151276;588;161565;610;547129;
601101;Baönice;1817;6126458;764;3794990;0;0;0;0;98;66642;1;1441;168;329193;67;1468614;185;30907;172;117766;362;316905;
601128;Baöù;2965;7805569;1052;5157793;0;0;0;0;618;339067;9;42385;20;37835;36;1543607;68;42799;869;174552;293;467531;
601144;Batelov;7419;13574986;2049;7238828;0;0;0;0;496;220992;10;13030;1588;1828526;477;2522711;243;230748;953;281188;1603;1238963;
601152;BatÚovice;2315;4466762;244;1599064;0;0;0;0;401;400410;0;0;368;1019684;140;931508;32;37198;501;132793;629;346105;
601179;Bavorov;6185;11264504;1772;5524392;0;0;0;0;355;212271;39;133130;849;1568437;207;2031865;362;301744;815;262569;1786;1230096;
601195;Tourov;358;3444014;47;1785090;0;0;0;0;29;40312;3;8789;44;169516;105;1285674;11;18820;30;19229;89;116584;
601209;Bavory;1735;5003636;294;2614794;0;0;212;1040783;165;109619;2;19420;19;77091;57;300303;17;60919;325;89629;644;691078;
