KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
689149;Lutopecny;919;3708525;286;2752416;0;0;0;0;149;113498;1;3561;49;197115;0;0;33;64645;180;56725;221;520565;
689157;MÏr˘tky;472;1160139;163;819161;0;0;0;0;90;78453;3;19433;15;27632;0;0;5;19141;104;40547;92;155772;
689165;Lutov·;1901;11569069;485;1904645;0;0;0;0;128;75292;0;0;277;1323458;187;2646254;170;4786827;162;90467;492;742126;
689173;Dlouh· Louka u Luûan;527;2396126;190;1608950;0;0;0;0;102;96622;0;0;33;33985;6;551995;27;17940;118;30405;51;56229;
689181;Luûany u P¯eötic;1564;4210290;304;2616743;0;0;0;0;151;110204;0;0;359;645967;11;173737;250;263162;278;115228;211;285249;
689203;ZelenÈ;959;2834443;340;1441869;0;0;0;0;64;58690;0;0;175;376117;43;748316;69;10534;85;42794;183;156123;
689220;Luûany nad Trotinou;1111;3358040;323;2052289;0;0;0;0;68;51375;0;0;250;408148;52;626599;108;28452;100;50697;210;140480;
689238;Luûany u JiËÌna;1792;12495500;200;4968822;0;0;0;0;346;323853;110;964726;154;989488;128;4435679;71;78588;396;180948;387;553396;
689246;Luûce;591;3014290;185;2079002;0;0;0;0;52;26761;9;36610;94;329655;13;343421;42;53864;81;24754;115;120223;
689254;Luûe;3094;4801921;700;2451611;0;0;0;0;531;292856;29;210962;197;299337;62;559718;151;169143;854;217175;570;601119;
689262;Zdislav;375;3102331;81;438844;0;0;0;0;50;39722;1;6416;41;278437;22;2223583;6;23624;72;19058;102;72647;
689271;Luûec nad Cidlinou;3193;11717609;1768;9630946;0;0;0;0;312;197447;0;0;121;325206;33;577227;88;178662;383;205717;488;602404;
689289;Chramostek;209;2398029;53;1956548;0;0;0;0;20;12613;1;4037;10;110303;5;16258;5;114364;26;23050;89;160856;
689297;Luûec nad Vltavou;2167;7604257;467;5365176;0;0;0;0;344;159140;9;22694;25;154520;32;189375;20;199517;704;202922;566;1310913;
689301;Luûenice;1149;3121190;428;2130661;0;0;0;0;52;25786;0;0;230;311748;100;455933;63;14900;86;39527;190;142635;
689319;LuûeniËky;1299;3169318;445;2041931;0;0;0;0;45;24812;0;0;254;472148;115;403194;30;39460;125;43248;285;144525;
689327;Luûice u Mostu;1144;5558421;183;1923578;0;0;0;0;169;74847;5;92167;113;1181061;41;1604998;59;105033;230;74305;344;502432;
689335;SvinËice;535;3242181;148;2449944;0;0;0;0;23;13541;0;0;65;271462;18;123191;6;8147;67;33554;208;342342;
689343;Luûice u HodonÌna;7461;7620202;1868;3403561;0;0;574;464549;1107;492176;278;838195;162;265120;279;795221;124;51188;1565;351703;1504;958489;
689351;Luûice u äternberka;910;5147428;356;4542504;0;0;0;0;168;134407;1;2849;39;92480;0;0;17;47764;205;99436;124;227988;
689378;Luûn· u RakovnÌka;7850;29781896;1758;4904962;105;159221;0;0;706;441993;31;108375;755;783906;1128;21454251;290;95944;1059;336033;2018;1497211;
689416;Luûn· u VsetÌna;5371;15687516;653;1075290;0;0;0;0;217;98489;0;0;1557;3302210;954;9724244;23;92773;616;89442;1351;1305068;
689459;Luûnice;4159;12144121;1530;5946201;0;0;0;0;157;103627;0;0;319;550354;359;3634405;263;904056;280;109485;1251;895993;
689475;Lvov·;911;5733526;45;1486512;0;0;0;0;82;81782;1;28683;244;1814263;81;1715047;39;157389;149;51338;270;398512;
689505;Lys· nad Labem;8101;30807809;804;15171806;0;0;0;0;1793;940661;70;404764;178;1424849;304;7882069;227;627595;3102;853466;1623;3502599;
689556;Litol;2136;2861015;380;1357638;0;0;0;0;526;243339;2;7556;47;135035;18;93238;35;294241;777;194355;351;535613;
689653;Lysec;673;2828243;13;364363;0;0;0;0;119;66704;0;0;114;847140;12;479637;4;69633;144;42679;267;958087;
689661;Lysice;3271;10759900;540;4523957;0;0;0;0;884;658324;105;978561;143;365617;106;2740888;31;77993;908;232177;554;1182383;
689670;Lysovice;895;5298979;267;4262839;0;0;0;0;171;82428;5;14414;36;99236;20;240888;20;119473;171;68925;205;410776;
689688;Lys˘vky;1343;2050979;310;595184;0;0;0;0;276;210057;1;2878;97;174110;22;752171;68;17760;266;85028;303;213791;
689700;LûÌn;2017;5729988;765;3345964;0;0;0;0;85;56459;0;0;587;910974;184;994610;134;144262;93;51565;169;226154;
689718;Mackovice;967;11797123;120;10354606;0;0;3;2094;162;111515;13;51294;10;34180;76;611179;48;81056;257;100991;278;450208;
689726;HnÏvkov u MaËkova;489;4672383;112;2555369;0;0;0;0;77;53204;1;3330;47;625592;50;1028577;15;125248;87;41001;100;240062;
689734;MaËkov;775;5076027;99;1296429;0;0;0;0;79;90744;0;0;134;1507536;107;1542207;21;178638;142;64261;193;396212;
689769;Mahouö;683;5963159;159;4729221;0;0;0;0;65;59031;5;19229;103;569659;23;84764;45;120290;115;68825;168;312140;
689777;NÏmËice u Netolic;692;2444368;165;1466024;0;0;0;0;65;35216;0;0;120;683560;12;30327;22;43365;99;31811;209;154065;
689785;Olöovice;547;3937305;93;2134847;0;0;0;0;43;69787;3;11794;117;913424;96;511819;19;34622;62;34251;114;226761;
689793;Sedlovice;371;1702928;26;615671;0;0;0;0;13;11313;0;0;129;770573;33;203805;29;11859;28;14293;113;75414;
689823;MachnÌn;2227;11325834;179;1993936;0;0;0;0;429;430905;0;0;471;2118405;98;5597704;37;152128;649;196456;364;836300;
689831;BÏl˝;1049;6559191;146;1110471;0;0;0;0;85;60314;3;18946;407;1441371;120;3705778;17;25573;134;48948;137;147790;
689840;Machov;1465;4553972;37;162959;0;0;0;0;215;165136;3;10029;485;2052568;136;1856618;19;5582;280;72405;290;228675;
689858;Machovsk· Lhota;756;3802841;61;366920;0;0;0;0;86;64869;2;5686;217;958111;123;2222932;10;11716;118;31883;139;140724;
689866;NÌzk· Srbsk·;1191;4474005;165;1518402;0;0;0;0;170;127750;1;14160;263;1252079;86;1185172;17;27152;220;76288;269;273002;
689882;Machov·;1369;3154782;494;2543010;0;0;0;0;216;102874;0;0;25;25100;94;136897;31;27205;282;77566;227;242130;
689904;Majdalena;1808;12955508;431;1283774;0;0;0;0;219;138685;0;0;307;939542;57;8634417;220;450565;253;90369;321;1418156;
689921;MajetÌn;2956;9499887;1033;7770663;0;0;0;0;647;266556;0;0;66;175835;92;90094;24;140629;552;141619;542;914491;
689939;M·j˘vka;674;8949686;33;2684492;0;0;0;0;18;8564;0;0;192;3035725;98;2645560;33;65043;64;39821;236;470481;
689947;Makot¯asy;1010;4329682;379;3694512;0;0;0;0;122;68207;2;4059;22;29218;57;75264;24;40998;212;74922;192;342502;
689963;Makov u Jistebnice;2468;5754688;684;3208257;0;0;0;0;178;146197;1;10941;627;1297972;154;574194;119;56290;180;89241;525;371596;
689971;Pada¯ov;1052;3824046;396;2674682;0;0;0;0;85;80590;0;0;180;427099;61;358017;94;51480;69;40088;167;192090;
689998;Vl·senice u Makova;438;3124227;48;1550191;0;0;0;0;89;95564;0;0;47;452442;9;771279;28;37787;91;44802;126;172162;
690007;Makov u Litomyöle;1610;6899740;425;5173293;0;0;0;0;246;161774;0;0;134;327477;116;852000;5;1104;242;74925;442;309167;
690015;Makov;698;2536612;36;980037;0;0;0;0;71;64259;3;14075;92;618129;149;558587;3;5943;77;21775;267;273807;
690023;Mal· BÏl·;983;3146674;59;361343;0;0;0;0;179;89057;3;13190;123;252182;45;1832286;23;53857;273;76758;278;468001;
690031;Mal· Bukovina;885;5265416;99;1834962;0;0;0;0;127;78942;0;0;262;2741177;55;279316;16;42401;129;65448;197;223170;
690040;Mal· Byst¯ice;2728;18317998;140;642754;0;0;0;0;104;96183;3;9493;639;3401829;357;12645930;62;173625;477;99419;946;1248765;
690066;Mal· »ernoc;988;7558237;197;4376866;69;984708;0;0;86;55148;1;2971;33;149374;60;744385;20;72701;191;97068;331;1075016;
690074;Mal· Hraötice;2151;6184440;551;4004880;0;0;0;0;404;301452;1;4796;191;763935;78;559785;9;3450;566;92344;351;453798;
690091;Velk· Hraötice;1210;3096146;316;1866876;0;0;0;0;205;131158;0;0;176;467386;22;353819;4;7293;277;66546;210;203068;
690104;Mal· LeËice;1066;4772643;204;2220254;0;0;0;0;51;39160;4;21994;178;803571;140;1149905;32;96375;155;38235;302;403149;
690112;Mal· Lhota;1074;2634667;359;1632811;0;0;0;0;116;87772;5;16077;95;186704;200;440427;12;6932;91;27324;196;236620;
690121;Mal· Lhota u ValaöskÈho Mezi¯ÌËÌ;772;2227055;64;213379;0;0;0;0;57;39344;0;0;277;953902;95;871343;2;517;97;16474;180;132096;
690147;Mal· Losenice;1232;7649102;171;4364864;0;0;0;0;147;62994;0;0;210;1387337;154;1355908;49;38397;185;75630;316;363972;
690155;Mal· Morava;2095;9536807;242;2971545;0;0;0;0;31;13133;0;0;530;3224404;409;2390217;69;157052;224;88405;590;692051;
690163;SklenÈ u MalÈ Moravy;1222;17725119;0;0;0;0;0;0;6;1771;0;0;365;1420509;273;16028651;18;46866;134;22739;426;204583;
690171;VlaskÈ;986;4790456;15;148563;0;0;0;0;11;5094;0;0;217;2472400;380;1711317;24;48678;87;25776;252;378628;
690180;VojtÌökov;2273;6984728;54;677520;0;0;0;0;11;5066;0;0;623;3055553;788;2609853;73;158639;176;50273;548;427824;
690198;Vysok· u MalÈ Moravy;893;3206451;22;147000;0;0;0;0;1;132;0;0;181;1442572;276;1367405;10;17718;88;20191;315;211433;
690201;Vysok˝ Potok;888;15814696;0;0;0;0;0;0;34;10262;0;0;165;2497270;270;12767177;30;72814;98;42180;291;424993;
690210;Zlat˝ Potok;655;2970831;81;899340;0;0;0;0;6;3189;0;0;201;1295716;161;573559;28;22180;43;12896;135;163951;
690228;Karlov pod PradÏdem;1000;23193111;18;45507;0;0;0;0;44;26128;0;0;258;759629;103;21956022;32;55766;227;57598;318;292461;
690236;Mal· Mor·vka;2637;38363572;58;127980;0;0;0;0;212;152810;1;5853;618;2221597;456;34785064;38;85122;585;160424;669;824722;
690244;Mal· Roudka;785;1591680;268;820468;0;0;0;0;75;32223;0;0;156;104673;84;534400;6;409;61;19321;135;80186;
690252;SkoËova Lhota;978;2266861;326;1449933;0;0;0;0;71;49235;1;3907;211;244617;163;418255;1;209;71;21771;134;78934;
690317;SnÏhov;1570;4385143;72;401780;0;0;0;0;287;355554;2;10310;365;1347996;206;1675312;12;74978;316;61650;310;457563;
690325;VranovÈ I;1040;1079040;34;72199;0;0;0;0;256;191805;0;0;246;309327;57;250550;3;32095;272;45744;172;177320;
690333;VranovÈ II;1054;1761859;21;67717;0;0;0;0;206;181657;3;17730;270;627671;184;539770;12;81396;208;31944;150;213974;
690350;Mal· ät·hle;526;2811324;1;33;0;0;0;0;18;23969;0;0;168;1878027;97;610036;8;12307;106;54550;128;232402;
690368;DolnÌ Mal· ⁄pa;809;7408601;0;0;0;0;0;0;0;0;0;0;297;1472505;45;5461521;11;97096;133;38317;323;339162;
690376;HornÌ Mal· ⁄pa;887;19252524;0;0;0;0;0;0;0;0;0;0;310;1467034;54;17303643;21;99561;203;45034;299;337252;
690392;Mal· VeleÚ;1672;5026532;35;69830;0;0;0;0;260;254174;17;200318;424;1703697;151;1822378;15;118500;268;65860;502;791775;
690414;Mal· VÌska;863;1153672;58;157564;0;0;0;0;117;72419;3;9550;273;777476;9;8703;23;4193;98;26186;282;97581;
690422;Mal· Vrbka;2421;4447431;1143;2558333;0;0;1;121;138;86234;52;22993;227;444678;133;1027593;70;28601;163;59908;494;218970;
690431;MalËÌn;2259;12738678;628;3737629;0;0;0;0;139;75992;3;36289;608;792795;412;7679840;113;59625;144;77806;212;278702;
690449;MalÈ B¯ezno;957;5727891;284;3013150;0;0;0;0;66;36478;2;12050;33;58304;22;559369;30;138658;275;59131;245;1850751;
690465;Leötina u MalÈho B¯ezna;764;3501110;13;33898;0;0;0;0;58;50943;0;0;303;1525198;96;1579222;7;15965;66;26010;221;269874;
690473;VitÌn u MalÈho B¯ezna;254;2278692;0;0;0;0;0;0;6;1188;0;0;69;660430;45;1462693;3;8436;30;11748;101;134197;
690481;MalÈ B¯ezno nad Labem;1210;5284800;36;97556;0;0;0;0;177;116724;12;152681;341;1352922;63;2701849;10;250899;222;50308;349;561861;
690490;MalÈ Heraltice;611;4880228;62;2969243;0;0;0;0;114;85324;0;0;69;752963;68;741067;16;69124;116;68775;166;193732;
690503;MalÈ Hradisko;1662;6797164;128;2954329;0;0;0;0;302;159211;7;38358;501;979166;90;2197136;17;46518;298;84693;319;337753;
690520;MalÈ Kyöice;1336;4186507;63;60438;0;0;0;0;332;193769;3;10881;86;72117;31;3604217;15;21843;490;69186;316;154056;
690538;MalÈ P¯Ìlepy;1865;3765270;328;1248561;0;0;0;0;154;119601;14;34436;456;974842;202;1085555;12;6994;319;70340;380;224941;
690554;MalÈ P¯ÌtoËno;984;1850455;330;1453776;0;0;0;0;114;50415;9;25531;24;11400;20;18688;25;9738;150;47806;312;233101;
690562;MalÈ SvatoÚovice;1971;2871227;66;259966;0;0;0;0;436;411064;0;0;302;939715;123;671805;36;12139;585;128817;423;447721;
690571;MalÈ Vöelisy;233;3308544;39;2825162;0;0;0;0;26;21252;0;0;4;3619;32;295337;1;978;66;45819;65;116377;
690589;MalÈ éernoseky;1862;3318501;292;1280439;0;0;1;7145;393;322277;3;37963;223;173238;59;613555;20;241103;540;94085;331;548696;
690597;MaleË;904;3749725;178;505396;0;0;0;0;20;19872;0;0;188;716314;148;1951218;18;24795;54;22268;298;509862;
690627;HornÌ Lhotka;541;1870952;182;951477;0;0;0;0;54;73512;0;0;88;240340;37;486906;37;12558;49;36711;94;69448;
690635;Hranice u MalËe;365;2931757;28;1478454;0;0;0;0;54;51026;9;33999;51;447394;32;634753;23;90890;67;29620;101;165621;
690643;JenÌkovec;135;1244328;12;754459;0;0;0;0;18;16590;0;0;26;151006;7;195504;4;16039;17;8510;51;102220;
690651;MaleË u ChotÏbo¯e;782;2990953;51;1664040;0;0;0;0;152;101701;8;26646;63;771696;15;47291;60;84688;278;77492;155;217399;
690660;P¯edbo¯ u MalËe;271;3061724;11;831551;0;0;0;0;57;29356;2;16018;31;327255;35;1727224;6;6666;55;20030;74;103624;
690678;B¯ezÌ u MaleËova;377;2687240;2;1717;0;0;0;0;62;36662;2;9626;69;971765;60;1366764;7;9328;76;25060;99;266318;
690686;Kojetice u MaleËova;649;1819014;13;16542;0;0;0;0;70;56212;5;15377;243;1151572;71;396775;1;142;91;20785;155;161609;
690694;MaleËov;641;2283771;27;14723;0;0;0;0;52;24758;0;0;158;1118986;27;699597;4;3933;137;31664;236;390110;
690708;NÏmËÌ u MaleËova;262;2926387;1;573;0;0;0;0;9;3424;0;0;68;431054;45;2364909;1;172;28;7560;110;118695;
690716;Poho¯Ì u MaleËova;193;1994093;1;907;0;0;0;0;11;13111;0;0;59;752068;24;1003452;0;0;21;7630;77;216925;
690724;Malenice;2832;9865252;216;1971200;0;0;0;0;343;256128;3;13137;562;3644830;409;2595928;27;130266;436;109491;836;1144272;
690783;Malenovice;3658;13004051;169;453251;0;0;0;0;317;272369;2;5846;1139;2924563;547;8716491;58;57099;742;131116;684;443316;
690813;DolnÌ Vlk˝ö;327;2375353;136;1789784;0;0;0;0;54;44735;1;5291;9;55160;13;176506;2;2074;53;13534;59;288269;
690821;Malesice;1296;6658234;285;4098117;0;0;0;0;223;152571;0;0;79;198653;26;1102439;41;134472;341;84265;301;887717;
690830;Maleöov;1580;7795737;163;4238286;0;0;0;0;356;265097;16;37742;88;636230;80;908078;54;922557;529;215541;294;572206;
690856;Pol·nka u Maleöova;371;4246096;73;3236549;0;0;0;0;33;41743;3;13303;53;229064;68;467814;25;75597;53;44636;63;137390;
690864;T˝niötÏ u Maleöova;702;2192880;341;1788455;0;0;0;0;44;42950;7;23574;73;96973;37;78782;38;10468;57;43535;105;108143;
690872;Maleöovice;1224;9204971;441;7988643;0;0;0;0;146;82283;0;0;1;616;33;287533;10;116373;315;137177;278;592346;
690881;Javo¯Ì u MaletÌna;654;3221989;99;1493879;0;0;0;0;38;17135;0;0;77;602545;155;841936;3;2208;56;14882;226;249404;
690899;Nov˝ MaletÌn;237;979437;11;281191;0;0;0;0;7;3222;0;0;111;544733;14;43890;11;3829;20;5676;63;96896;
690902;Star˝ MaletÌn;2237;14354961;256;3452017;0;0;0;0;120;93967;0;0;306;2357412;398;7315441;48;46159;268;78890;841;1011075;
690911;Malhostovice;3054;8343553;952;3538784;0;0;0;0;321;223936;11;38822;180;689270;620;3206647;31;116097;396;124795;543;405202;
690929;NuzÌ¯ov;614;3169551;133;1178210;0;0;0;0;82;84558;4;11133;50;115173;121;1618729;14;24798;87;30959;123;105991;
690937;Malhotice;2795;7676984;1564;5087323;0;0;0;0;214;209520;8;34000;215;667473;101;1098871;84;28752;237;103175;372;447870;
690945;MalÌkov;1020;4103407;199;1613782;0;0;0;0;113;54617;5;14730;165;414954;238;1816258;13;5292;80;22879;207;160895;
690961;MalÌkovice;1438;6247104;494;3841930;16;260143;0;0;190;131775;16;232905;42;127298;25;1090004;66;65100;275;115363;314;382586;
690970;MalÌnky;3311;3408917;1763;2597775;0;0;0;0;91;55062;25;31142;77;56985;146;196138;347;56405;130;49827;732;365583;
690988;Malinov·;1229;3278591;611;2638137;0;0;0;0;47;41835;5;18306;175;173612;72;188407;62;18737;74;50725;183;148832;
690996;M·lkov u Suchomast;382;3403508;46;2079980;0;0;0;0;59;52326;4;18354;41;511090;27;534202;7;8119;75;35194;123;164243;
691003;AhnÌkov;1070;4492872;161;610834;0;0;0;0;46;25676;84;479536;126;287759;105;596812;62;164241;46;16254;440;2311760;
691011;M·lkov u Chomutova;1007;2510355;62;250641;0;0;0;0;185;137573;3;20114;132;360681;99;1287541;26;50239;181;56998;319;346568;
691038;Zelen·;990;1767109;84;104147;0;0;0;0;165;104134;108;523477;89;122585;35;558930;15;45943;201;32412;293;275481;
691046;Jind¯ichovice u Malonic;965;4176132;216;1694175;0;0;0;0;50;41610;0;0;298;1301735;78;468302;55;374277;73;41201;195;254832;
691054;Malonice;575;5427060;39;2281640;0;0;0;0;67;70543;0;0;88;1292466;64;1335146;17;70765;102;55355;198;321145;
691062;Sluhov;284;1319029;33;284768;0;0;0;0;15;12544;1;4701;92;529970;54;400490;1;7074;12;8936;76;70546;
691071;St¯Ìteû u Malonic;244;1452539;16;360220;0;0;0;0;26;23981;0;0;72;796006;24;87612;4;10591;25;17341;77;156788;
691089;Tajanov u Malonic;223;1176066;34;491873;0;0;0;0;11;8066;0;0;53;383659;26;207610;11;16290;24;11122;64;57446;
691097;BÏl· u Malont;495;9870584;26;1314484;0;0;0;0;25;11570;0;0;86;1549522;58;6344510;5;15900;83;22404;212;612194;
691101;Bukovsko;493;6188976;34;1309574;0;0;0;0;29;9706;5;16995;90;1605907;72;2500752;26;128266;42;11477;195;606299;
691119;JaromÏ¯ u Malont;949;7033732;94;1596713;0;0;0;0;37;43074;4;25107;139;2168414;229;2369973;25;93021;79;14764;342;722666;
691127;Malonty;3335;10476264;843;2944714;0;0;0;0;142;99134;0;0;823;1804996;330;4520431;72;168745;358;61017;767;877227;
691135;Mezi¯ÌËÌ u Malont;993;8130468;35;1350119;0;0;0;0;60;32490;0;0;152;2950784;286;2823963;36;156267;118;30807;306;786038;
691143;RadËice u Malont;239;4936999;10;45168;0;0;0;0;1;685;0;0;32;1507169;66;3017785;5;39329;14;3283;111;323580;
691151;Hodonice u Malont;328;4017861;24;1022671;0;0;0;0;0;0;0;0;60;648648;126;1978909;18;104183;4;1436;96;262014;
691160;Rapotice u Malont;230;6219131;1;83979;0;0;0;0;0;0;0;0;67;2030573;50;3790415;9;27546;11;3410;92;283208;
691178;Lhotky u Malotic;350;4070174;61;339386;0;0;0;0;94;62561;22;115577;3;6542;27;3411905;13;20672;91;42161;39;71370;
691186;Malotice;1076;4503129;475;3765136;0;0;0;0;94;52818;45;223092;57;98281;10;49479;51;35850;145;71982;199;206491;
691216;Krtely;860;7249915;106;1151573;0;0;0;0;62;59307;161;1809265;121;584866;55;3254857;22;35813;121;51615;212;302619;
691224;Malovice u Netolic;1073;9999803;85;5575236;0;0;0;0;179;127451;11;517021;152;1329785;56;1197741;73;613009;233;107462;284;532098;
691232;MaloviËky;504;4182252;91;2178895;0;0;0;0;58;34188;0;0;52;300249;53;878701;17;420443;88;40237;145;329539;
691241;Pode¯iötÏ;531;3352262;89;2049526;0;0;0;0;56;53710;1;2947;85;559324;94;356153;23;61999;66;32216;117;236387;
691267;BeËice nad LuûnicÌ;1319;3243638;397;1380199;0;0;0;0;41;27582;0;0;158;235033;323;1421876;9;1413;122;31766;269;145769;
691275;Malöice;4326;13268310;1421;7127275;0;0;0;0;382;235642;0;0;628;1243905;262;3528113;188;144705;646;274722;799;713948;
691305;Malöova Lhota;1439;1937937;221;1065697;0;0;0;0;246;127114;2;743;133;107779;21;52153;61;136456;458;123790;297;324205;
691313;HlinÏn·;480;2125680;22;195837;0;0;0;0;59;30198;1;3530;190;1522543;51;273599;3;3216;59;16927;95;79830;
691330;Javory;770;3585943;22;428888;0;0;0;0;94;41983;0;0;259;2114210;62;733527;6;1495;70;25242;257;240598;
691348;Malöovice;1109;3403804;171;1047421;0;0;0;0;168;133651;17;316145;217;561507;69;809216;22;79836;229;75989;216;380039;
691364;Star· BohynÏ;559;1389148;2;2456;0;0;0;0;44;26826;0;0;244;838565;28;177457;14;23991;78;23202;149;296651;
691372;Kosov u Jihlavy;1303;5681541;386;3429987;0;0;0;0;79;43977;0;0;215;528640;139;1080714;26;117161;132;41391;326;439671;
691381;Mal˝ Beranov;911;1000370;86;288081;0;0;0;0;186;93793;0;0;202;199994;20;225649;4;747;229;72707;184;119399;
691399;Mal˝ Bor;3132;8146912;1387;5149789;0;0;0;0;125;76365;2;3645;428;1018738;237;900010;178;308678;218;109038;557;580649;
691402;Mal˝ JenÌkov;739;2082509;144;760408;0;0;0;0;45;27086;0;0;163;498007;102;516758;39;78473;56;19652;190;182125;
691411;Mal˝ PÏËÌn;1512;5510752;575;3642192;0;0;0;0;55;43966;0;0;169;412911;279;965266;43;76315;122;55971;269;314131;
691429;Jelenice u MÏlnÌka;1278;4225818;431;2977361;0;0;0;0;173;112433;2;9863;27;73743;20;595523;44;43174;324;102151;257;311570;
691437;Mal˝ ⁄jezd;1092;8024378;543;6276151;0;0;0;0;102;65091;6;24648;12;52611;13;866160;27;75300;204;73612;185;590805;
691453;Brdo u ManÏtÌna;1184;3884242;312;986952;0;0;0;0;43;38879;0;0;246;349558;349;2307230;21;62001;55;16859;158;122763;
691461;»esk· Doubravice;905;3761348;293;1387884;0;0;0;0;52;27549;0;0;107;173836;255;1938635;11;52335;45;17359;142;163750;
691470;Hr·dek u ManÏtÌna;889;2345598;409;760342;0;0;0;0;34;12150;0;0;112;146183;76;1248037;4;18696;40;14453;214;145737;
691488;LipÌ u ManÏtÌna;526;7309716;39;709665;0;0;0;0;20;13424;1;3370;39;502729;249;5741723;18;80490;33;15291;127;243024;
694801;Horka u Milhostova;144;1866316;16;1290273;0;0;0;0;7;8680;0;0;22;149259;12;179572;16;36238;22;26177;49;176117;
694819;Milhostov;482;5814445;40;3541208;0;0;0;0;31;17262;0;0;73;1294944;9;157223;45;398396;119;54361;165;351051;
694827;Vackovec;96;3349187;9;2643424;0;0;0;0;10;11328;0;0;21;505762;5;57385;13;39414;9;4816;29;87058;
694835;Doubrava u Milhostova;37;1327601;6;1041591;0;0;0;0;0;0;0;0;11;169836;0;0;6;71693;0;0;14;44481;
694843;Malovice u MiliËÌna;492;1038411;179;725307;0;0;0;0;15;10973;1;4496;112;141277;44;88241;5;971;50;22014;86;45132;
694851;MiliËÌn;3267;10848561;931;5934383;0;0;0;0;324;228876;7;38194;619;1752328;135;1775998;126;99132;511;169358;614;850292;
694878;Z·ho¯Ì u MiliËÌna;1435;5926758;609;3675490;0;0;0;0;29;24400;4;6596;319;547141;94;1251740;66;81354;85;57843;229;282194;
694894;MilÌËov u Jihlavy;1128;6531750;163;2743275;0;0;0;0;79;63044;2;3286;257;1320639;158;1307486;28;230983;92;41776;349;821261;
694908;MilÌËovice;642;6941857;102;5696981;0;0;0;0;100;68281;2;39471;38;98874;28;592003;65;85922;130;68785;177;291540;
694916;Mal· äitbo¯;268;1957658;8;978658;0;0;0;0;49;33381;1;14716;37;642491;2;6241;18;24528;53;13616;100;244027;
694924;MilÌkov u Mari·nsk˝ch L·znÌ;638;9172475;29;470685;0;0;0;0;72;40461;0;0;126;1601895;86;6401017;43;226485;101;33560;181;398372;
694932;TÏöov u MilÌkova;321;1857736;10;360959;0;0;0;0;32;22083;0;0;125;1056589;3;16743;8;36526;30;8798;113;356038;
694941;MilÌkov u Jablunkova;4885;9160865;669;1392299;0;0;0;0;378;334069;0;0;2034;3344762;499;2990673;56;43311;684;146884;565;908867;
694975;MilÌn;4401;7344291;818;3099066;0;0;0;0;460;264200;40;73636;613;1065236;225;1535244;63;107057;855;230710;1327;969142;
694991;BaËalky;1191;2666454;440;1663051;0;0;0;0;203;136374;18;32225;145;253328;19;379785;26;3179;158;75476;182;123036;
695009;LiËno u Milkovic;776;3032522;330;1924194;0;0;0;0;41;43203;7;62066;122;272559;54;544466;48;43512;60;39378;114;103144;
695025;Z·huby;669;3391424;116;542480;0;0;0;0;52;31661;10;22122;202;433324;61;2103718;43;29045;60;41715;125;187359;
695033;Zeleneck· Lhota;1383;3272149;385;1816283;0;0;0;0;126;76588;16;20101;289;551890;143;531671;59;46680;136;55928;229;173008;
695041;Milonice;2447;4981833;1293;4244870;0;0;1;590;225;134760;2;5606;26;24853;7;166682;142;49010;239;85650;512;269812;
695068;Uh¯ice;3680;4391258;2201;3831894;0;0;0;0;162;83008;2;7203;21;12599;0;0;140;164225;203;67363;951;224966;
695076;Milonice u Lip˘vky;927;2587483;266;724282;0;0;0;0;104;70712;2;5792;181;126771;150;1518921;19;10712;98;24303;107;105990;
695084;Z·vist;352;422867;63;79266;0;0;0;0;76;40117;2;9964;114;207091;9;28535;0;0;58;17334;30;40560;
695092;MiloÚovice;913;3751149;220;1741103;0;0;0;0;89;82808;11;71090;143;714297;65;849805;24;13610;143;72509;218;205927;
695114;Sudkovice;361;2530518;59;1239818;0;0;0;0;18;22591;0;0;36;334397;162;717156;4;52345;22;16624;60;147587;
695122;MilostÌn;2537;7178129;1280;5645282;287;713072;0;0;116;87880;2;7687;59;68285;45;109585;119;55130;259;134369;370;356839;
695149;Milostovice;496;5148476;48;4703529;0;0;0;0;118;65653;0;0;34;39809;1;57559;16;25696;179;70501;100;185729;
695157;Milotice u Kyjova;6026;12657286;2623;8407173;0;0;453;420660;571;251320;10;42195;187;329971;55;675005;115;349942;1029;359412;983;1821608;
695165;Milotice nad BeËvou;1813;4548997;440;1677111;0;0;0;0;220;187777;1;8867;120;308553;192;1276445;47;580798;279;80486;514;428960;
